hpo_id,name,definition,synonyms,ref,related_diseases,related_genes
HP:0034094,Anti-angiotensin receptor type-1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against angiotensin receptor type-1.,Anti-AT1R antibody positivity,,ORPHA:90291,
HP:0034095,Anti-endothelin-1 type A receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against endothelin-1 type A receptor.,Anti-ETAR antibody positivity,,ORPHA:90291,
HP:0034096,Anti-phosphatidic acid antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phosphatidic acid.,,,ORPHA:536,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
HP:0034097,Anti-phosphatidyl choline antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phosphatidyl choline.,,,ORPHA:80|ORPHA:464343,
HP:0034098,Anti-phosphatidyl glycerol antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phosphatidyl glycerol.,,,ORPHA:80|ORPHA:464343,
HP:0034099,Anti-phosphatidyl inositol antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phosphatidyl inositol.,,,ORPHA:80|ORPHA:464343,
HP:0034100,Anti-phosphatidyl serine antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phosphatidyl serine.,,,ORPHA:80|ORPHA:464343,
HP:0034101,Anti-annexin-V antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against annexin-V.,,,ORPHA:80|ORPHA:464343,
HP:0034102,Anti-sphingolipid antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against sphingolipids.,,,ORPHA:548,
HP:0034103,Anti-GM1 antibody positivity,"Ganglioside-monosialic acid (GM1) is a type of glycosphingolipid with one sialic acid. GM1 is located on the outer layer of the plasma membrane, and plays a vital role in neurogenesis, nerve development, differentiation and repair after injury",Anti-ganglioside-monosialic acid antibody positivity,,,
HP:0034104,Anti-neutrophil elastase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against neutrophil elastase.,,,ORPHA:900|ORPHA:727|ORPHA:183,NCBIGene:3115:HLA-DPB1|NCBIGene:26191:PTPN22|NCBIGene:1493:CTLA4|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1
HP:0034105,Anti-transcription intermediary factor-1gamma antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against transcription intermediary factor-1gamma.,Anti-TIF-1gamma antibody positivity|Anti-TIF1-gamma antibody positivity,,ORPHA:221,
HP:0034106,Anti-Su antigen/argonaute 2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Su antigen/argonaute 2.,Anti-Ago2 antibody positivity|Anti-Su antibody positivity,,,
HP:0034107,Anti-p53 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against p53.,,,ORPHA:562639,
HP:0034108,Anti-Y-box protein-1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Y-box protein-1.,Anti-YB 1 antibody positivity,,ORPHA:562639,
HP:0034109,Anti-GW182 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against GW182.,,,,
HP:0034110,Anti-Gerbich phenotype 1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ge-1.,Anti-Ge-1 antibody positivity,,ORPHA:562639,
HP:0034111,Anti-MIT3 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against MIT3.,,,ORPHA:562639,
HP:0034112,Anti-GM1 IgG antibody positivity,The presence of IgG autoantibodies (immunoglobulins) in the blood circulation that react against GM1.,,,,
HP:0034114,Anti-hexokinase-1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against hexokinase-1.,Anti-HK-1 antibody positivity,,ORPHA:562639,
HP:0034115,Anti-Kelch like protein 12 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Kelch like protein 12.,Anti-KLHL-12 antibody positivity,,ORPHA:562639,
HP:0034117,Anti-angiotensin-converting enzyme 2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against angiotensin-converting enzyme 2.,Anti-ACE2 antibody positivity,,ORPHA:90291,
HP:0034118,Anti-GM1 IgM antibody positivity,The presence of IgM autoantibodies (immunoglobulins) in the blood circulation that react against GM1.,,,,
HP:0034119,Anti-GD1a IgG antibody positivity,The presence of IgG autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside D1a.,,,,
HP:0034120,Anti-GD1a IgM antibody positivity,The presence of IgM autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside D1a.,,,,
HP:0034121,Anti-GD1a antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside D1a.,,,,
HP:0034122,Anti-GQ1b antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside Q1b.,,,ORPHA:98919,
HP:0034123,Anti-GQ1b IgM antibody positivity,The presence of IgM autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside Q1b.,,,,
HP:0034124,Anti-GD1b antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against GD1b ganglioside.,,,,
HP:0034125,Anti-GD1b IgM antibody positivity,The presence of IgM autoantibodies (immunoglobulins) in the blood circulation that react against GD1b ganglioside.,,,,
HP:0034126,Anti-GD1b IgG antibody positivity,The presence of IgG autoantibodies (immunoglobulins) in the blood circulation that react against GD1b ganglioside.,,,,
HP:0034127,Anti-GQ1b IgG antibody positivity,The presence of IgG autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside Q1b.,,,,
HP:0034128,Anti-GT1a antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against T1a ganglioside.,,,,
HP:0034129,Anti-GT1a IgM antibody positivity,The presence of IgM autoantibodies (immunoglobulins) in the blood circulation that react against T1a ganglioside.,,,,
HP:0034130,Anti-GT1a IgG antibody positivity,The presence of IgG autoantibodies (immunoglobulins) in the blood circulation that react against T1a ganglioside.,,,,
HP:0034131,Anti-GT1b antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against T1b ganglioside.,,,,
HP:0034132,Anti-GM2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside GM2.,,,,
HP:0034133,Anti-GM3 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside GM3.,,,,
HP:0034134,Anti-GM4 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against ganglioside GM4.,,,,
HP:0034135,Anti-neurofascin-155 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against NF155.,Anti-NF155 antibody positivity,,ORPHA:2932,
HP:0034136,Anti-neurofascin 186 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against NF186.,Anti-NF186 antibody positivity,,ORPHA:2932,
HP:0034137,Anti-contactin-1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against CNTN1.,Anti-CNTN1 antibody positivity,,ORPHA:2932,
HP:0034138,Anti-contactin-associated protein 1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against anti-contactin-associated protein 1.,Anti-CASPR1 antibody positivity,,ORPHA:2932,
HP:0034139,Anti-SUMO-activating enzyme antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against SAE.,Anti-SAE antibody positivity|Anti-small ubiquitin-like modifier-1 activating enzyme antibody positivity,,ORPHA:221,
HP:0034140,Anti-SUMO-activating enzyme subunit 1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against SAE 1.,,,ORPHA:221,
HP:0034141,Anti-SUMO-activating enzyme subunit 2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against SAE 2.,Anti-SAE 2 antibody positivity,,ORPHA:221,
HP:0034142,Anti-nuclear matrix protein-2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against NXP-2.,Anti-MJ/NXP-2 antibody positivity|Anti-NXP-2 antibody positivity,,ORPHA:221,
HP:0034143,Anti-threonyl-tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against threonyl-tRNA synthetase.,Anti-PL-7 antibody positivity,,ORPHA:732|ORPHA:81,
HP:0034144,Anti-hY-RNA complex antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ro60.,Anti-Ro60 antibody positivity,,,
HP:0034145,Anti-alanyl-tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against alanyl-tRNA synthetase.,Anti-PL-12 antibody positivity,,ORPHA:81|ORPHA:732,
HP:0034146,Anti-glycyl tRNA-synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against glycyl tRNA-synthetase.,Anti-EJ antibody positivity,,ORPHA:81|ORPHA:732,
HP:0034147,Anti-aminoacyl-tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against a tRNA synthetase enzyme.,,,ORPHA:732|ORPHA:81|ORPHA:221,
HP:0034148,Anti-isoleucyl tRNA-synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against isoleucyl tRNA-synthetase.,Anti-OJ antibody positivity,,ORPHA:732|ORPHA:81,
HP:0034149,Anti-phenylalanyl tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against phenylalanyl tRNA synthetase.,Anti-Zo alpha antibody positivity|Anti-Zo antibody positivity|Phenylanyl-t-RNA synthetase alpha antibody positivity,,ORPHA:732|ORPHA:81,
HP:0034150,Anti-tyrosyl-tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against tyrosyl-tRNA synthetase.,Anti-Ha antibody positivity,,ORPHA:81|ORPHA:732,
HP:0034151,Anti-asparaginyl-tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against asparaginyl-tRNA synthetase.,Anti-KS antibody positivity,,ORPHA:81|ORPHA:732,
HP:0034152,Anti-histidyl tRNA synthetase antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against histidyl tRNA synthetase.,Anti-JO1 antibody positivity|Anti-Jo-1 antibody positivity,,ORPHA:81|ORPHA:732|ORPHA:221,
HP:0034153,Anti-cytosolic-5-nucleotidase-1A antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against cytosolic-5-nucleotidase-1A (cN1A).,Anti-cN1A antibody positivity,,ORPHA:611|ORPHA:81,
HP:0034154,Anti-Ki antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ki.,,,,
HP:0034155,Anti-sp100 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against sp100. Autoantibodies causing the MND pattern are directed against sp100, sp140, promyelocytic leukemia nuclear body proteins (PML) or ubiquitin-like modifier (SUMO) proteins, while in the punctate nuclear envelope pattern, the target antigens are gp210, nucleoporin-62 or laminin B receptor proteins.",,,ORPHA:562639,
HP:0034156,Anti-beta-2-Glycoprotein I IgG antibody positivity,Presence of IgG antibodies against beta 2 glycoprotein I in the circulation. Beta-2 glycoprotein I (beta2GPI) is the principal target of autoantibodies in the antiphospholipid syndrome.,Anti-beta2GPI IgG antibody positivity,,OMIM:618048|ORPHA:80,NCBIGene:51371:POMP
HP:0034157,Anti-beta-2-Glycoprotein I IgM antibody positivity,Presence of IgM antibodies against beta 2 glycoprotein I in the circulation. Beta-2 glycoprotein I (beta2GPI) is the principal target of autoantibodies in the antiphospholipid syndrome.,Anti-beta2GPI IgM antibody positivity,,ORPHA:80,
HP:0034158,Anti-tyrosine phosphatase region of islet antigen-2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against the tyrosine phossphatase region of islet antigen 2A (this region is a specific part of IA-2). Usually IA-2A are measured using the intracellular portion of IA-2 (IA-2ic) made up of the protein tyrosine phosphatase (PTP) and juxtamembrane (JM) regions.,Anti-PTPA antibody positivity,,,
HP:0034189,Anti-thyroid-stimulating hormone receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against thyroid-stimulating hormone.,Anti-TSH receptor antibody positivity|Anti-thyrotropin receptor antibody|TRAbs,,OMIM:240300|ORPHA:3002|OMIM:274300,NCBIGene:326:AIRE|NCBIGene:9103:FCGR2C|NCBIGene:7068:THRB
HP:0034257,C4 nephritic factor positivity,"The presence of autoantibodies (immunoglobulins) in the blood circulation that recognize C4b2a, the C3 convertase of the classical pathway of complement.",,,,
HP:0430050,Anti-thyroid antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against one or more components on the thyroid.,Antithyroid antibody positivity,,OMIM:241850|ORPHA:95719|ORPHA:566243|OMIM:274300|OMIM:618534|OMIM:618048|OMIM:619632|OMIM:609152|OMIM:615577|ORPHA:3002|OMIM:240300|OMIM:301109|ORPHA:64744|ORPHA:277|ORPHA:525731|ORPHA:49041|ORPHA:95715|ORPHA:37042|ORPHA:228426|OMIM:610199|OMIM:620376,NCBIGene:2304:FOXE1|NCBIGene:7068:THRB|NCBIGene:10125:RASGRP1|NCBIGene:51371:POMP|NCBIGene:29775:CARD10|NCBIGene:7253:TSHR|NCBIGene:4791:NFKB2|NCBIGene:9103:FCGR2C|NCBIGene:326:AIRE|NCBIGene:139818:DOCK11|NCBIGene:100:ADA|NCBIGene:50943:FOXP3|NCBIGene:83737:ITCH|NCBIGene:169792:GLIS3|NCBIGene:4067:LYN
HP:4000013,Anti-desmoglein-1 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against desmoglein-1, a dermal cell adhesion molecule.",,,ORPHA:704,
HP:4000014,Anti-desmoglein-3 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against desmoglein-3, a dermal cell adhesion molecule.",,,ORPHA:704,
HP:4000015,Anti-envoplakin antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against envoplakin, a cytoskeletal linker protein that links intermediate filaments to cellular junctions.",,,,
HP:4000016,Anti-periplakin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against periplakin.,,,,
HP:4000017,Anti-desmoplakin I antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against desmoplakin-1.,,,,
HP:4000018,Anti-desmoplakin II antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against desmoplakin-II.,,,,
HP:4000019,Anti-BP230 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against BP230.,,,ORPHA:703,NCBIGene:3119:HLA-DQB1|NCBIGene:3123:HLA-DRB1
HP:4000020,Anti-BP180 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against BP180.,,,ORPHA:703,NCBIGene:3119:HLA-DQB1|NCBIGene:3123:HLA-DRB1
HP:4000021,Anti-laminin 332 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against laminin-332.,Anti-laminin 5 antibody positivity,,,
HP:4000022,Anti-laminin 6 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against laminin-6.,,,,
HP:4000023,Anti-laminin gamma1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against laminin gamma-1.,,,,
HP:4000024,Anti-laminin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against a laminin. Laminins are major components of the basement membrane.,,,,
HP:4000025,Anti-integrin antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against an integrin. Integrins are a family of cell adhesion molecules with 24 known integrin heterodimers. Integrins transduce mechanical and biochemical signals from fibrotic extracellular matrix into the cell, activate latent TGFbeta, and subsequently modulate fibroblast adhesion, migration, and growth.",,,OMIM:301109,NCBIGene:139818:DOCK11
HP:4000026,Anti-transglutaminase 6 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against transglutaminase 6.,,,ORPHA:1656,
HP:4000027,Anti-LAD-1 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against LAD-1, which is the soluble 120 kDa ectodomain of BP180.",,,ORPHA:46488,
HP:4000028,Anti-LABD97 antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against LABD97, which is structurally identical to a portion of the extracellular domain of BPAg2. BPAg2, a 180 kDa bullous pemphigoid antigen, is a transmembrane protein important for basement membrane cohesion.",,,ORPHA:46488,
HP:4000029,Antigliadin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against gliadin.,AGA autoantibodies,,ORPHA:1656,
HP:4000030,Anti-reticulin antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against reticulin.,,,ORPHA:1656|OMIM:240300,NCBIGene:326:AIRE
HP:4000031,Anti-type VII collagen antibody,The presence of autoantibodies (immunoglobulins) in the serum that react against collagen type VII.,,,ORPHA:1656|OMIM:301109,NCBIGene:139818:DOCK11
HP:4000170,Anti-platelet antigen antibody positivity,"The presence of autoantibodies (immunoglobulins) in the serum that react against antigens present on the surface of thrombocytes such as the glycoproteins GPIIb/IIIa, GPIb/IX, and GPIa/IIa.",Antiplatelet antibodies present,,ORPHA:3002|OMIM:620475|ORPHA:90291|OMIM:620757,NCBIGene:9103:FCGR2C|NCBIGene:60:ACTB|NCBIGene:10020:GNE
HP:4000171,Anti-voltage-gated potassium channel antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against a voltage-gated potassium channel.,Voltage gated potassium channel antibodies in blood,,ORPHA:90291,
HP:5000000,Anti-AK5 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against anti-adenylate kinase 5 (AK5).,,,,
HP:5000001,Anti-AMPAR antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against anti-alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor (AMPAR).,Anti-alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antibody,,,
HP:5000002,Anti-Amphiphysin antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Amphiphysin.,,,ORPHA:443804|ORPHA:1183|ORPHA:3198,
HP:5000003,Anti-ARHGAP26 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Rho GTPase-activating protein 26 (ARHGAP26).,Anti-Ca antibody|Anti-RhoGTPase-activating protein 26 antibody,,,
HP:5000004,Anti-CARP VIII antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Carbonic anhydrase-related protein VIII (CARPVIII).,Anti CARPVIII antibody|Anti-carbonic anhydrase-related protein VIII antibody,,,
HP:5000005,Anti-CASPR2,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against contactin-associated protein-like 2 (CASPR2).,Anti-Caspr2 antibody|Anti-contactin-associated protein-like 2 antibody,,ORPHA:623615|ORPHA:84142|ORPHA:83467,
HP:5000006,Anti-CV2/CRMP5 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against CV2/CRMP5. Anti-CV2/CRMP5 autoantibody is the most commonly detected anti-neuronal autoantibody. Patients with typical paraneoplastic chorea show fully developed chorea in the course of weeks to months with acute inflammation in the striatum.,Anti-CV2 antibody|Anti-CV2/collapsin response mediator protein (CRMP)5 antibody|Anti-collapsin response-mediated protein 5 antibody,,ORPHA:623626,
HP:5000007,Anti-DPPX antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against dipeptidyl-peptidase-like protein 6 (DPPX).,Anti-dipeptidyl-peptidase-like protein 6 antibody,,ORPHA:3198|ORPHA:443804,
HP:5000008,Anti-FGFR3 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against FGFR3.,Anti-fibroblast growth factor receptor 3 antibody,,,
HP:5000009,Anti-GABA(A)R antibody,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against gamma-aminobutyric acid A receptor, i.e., GABA(A)R.",Anti-GABAA R antibody|Anti-gamma amino butyric acid type A receptors antibody,,,
HP:5000010,Anti-GABA(B)R antibody,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against gamma-aminobutyric acid B receptor, i.e., GABA(B)R.",Anti-gamma-aminobutyric acid B receptor antibody,,ORPHA:623615,
HP:5000011,Anti-GAD65 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against glutamic acid decarboxylase 65 (GAD65).,Anti-glutamic acid decarboxylase 65 antibody,,OMIM:240300|OMIM:616033|ORPHA:3198,NCBIGene:326:AIRE|NCBIGene:93587:TRMT10A
HP:5000012,Anti-Gephyrin antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Gephyrin.,,,ORPHA:3198|ORPHA:443804,
HP:5000013,Anti-GFAP antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against glial fibrillary acidic protein (GFAP).,Anti-glial fibrillary acidic protein antibody,,ORPHA:139417,
HP:5000014,Anti-GlyR antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Glycine receptor (GlyR).,Anti-glycine receptor antibody,,ORPHA:3198,
HP:5000015,Anti-Homer-3 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Homer-3.,Anti-Homer protein homolog 3 antibody,,,
HP:5000016,Anti-Hu antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Hu.,Anti-ANNA-1 antibody|Anti-Neuronal Nuclear Antibody type-1 antibody,,ORPHA:623615|ORPHA:208999|ORPHA:623626,
HP:5000017,Anti-Iglon5 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against immunoglobulin-like cell adhesion molecule 5 (IgLON5).,Anti-immunoglobulin-like cell adhesion molecule 5 antibody,,,
HP:5000018,Anti-ITPR1 antibody,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against inositol 1,4,5-trisphosphate receptor 1 (ITPR1).","Anti-inositol 1,4,5-trisphosphate receptor type 1 antibody",,,
HP:5000019,Anti-Kelch like protein 11 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against kelch-like protein 11 (KLHL11).,Anti-KLHL11 antibody,,,
HP:5000020,Anti-LGI1 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against leucine-rich glioma-inactivated 1 (LGI1).,Anti-Anti-leucine-rich glioma-inactivated 1 antibody,,ORPHA:623615,
HP:5000021,Anti-Ma antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ma.,,,,
HP:5000022,Anti-Ma2 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ma2.,Anti-Ta antibody,,,
HP:5000023,Anti-Ma1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ma1.,,,,
HP:5000024,Anti-mGluR1 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against metabotropic glutamate receptor 1 (mGluR1).,Anti-metabotropic glutamate receptor 1 antibody,,ORPHA:623626,
HP:5000025,Anti-mGluR5 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against metabotropic glutamate receptor 5 (mGluR5).,Anti-Metabotropic Glutamate Receptor Type 5 antibody,,,
HP:5000026,Anti-neurexin-3alpha antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against neurexin-3alpha.,Anti-neurexin-3alpha antibody,,,
HP:5000027,Anti-P/Q-type VGCC antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against P/Q-type voltage-gated calcium channels (VGCCs).,Anti-P/Q-type voltage-gated calcium-channel antibody,,ORPHA:43393,
HP:5000028,Anti-MAP1B antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against microtubule-associated protein 1B (MAP1B).,Anti-Purkinje cell cytoplasmic type-2 antibody|Anti-microtubule-associated protein 1B antibody,,,
HP:5000029,Anti-PKCgamma antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against protein kinase Cgamma.,Anti-Protein kinase C gamma antibody,,,
HP:5000030,Anti-Ri antibody,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Ri, an antineuronal antibody.",Anti-ANNA-2 antibody,,ORPHA:623626,
HP:5000031,Anti-Septin-5 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Septin-5.,,,,
HP:5000032,Anti-SEZ6L2 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against seizure-related 6 homolog like 2 (SEZ6L2).,,,,
HP:5000033,Anti-SOX1 antibody,"The presence of autoantibodies (immunoglobulins) in the blood circulation that react against SOX1. Anti-SOX1 antibodies, also known as antiglial nuclear antibody (AGNA), are specifically found in paraneoplastic neurological disorders. Since SOX1 is expressed in neuronal precursor cells in the developing central nervous system, it has been used as an early marker of neural stem cells.",Anti-Sry-like high mobility group box (SOX) 1 antibody,,,
HP:5000034,Anti-Tr/DNER antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Tr/DNER. Anti-Tr antibodies are directed against cerebellar Purkinje cells (termed anti-Tr or PCA-Tr). Anti-Tr autoantibodies are frequently associated with Hodgkin lymphoma (HL). Anti-Tr antibodies are defined by a specific staining pattern in cerebellar tissue that is characterized by punctate immunoreactivity in both the dendritic tree and soma of Purkinje cells but not in their axons. This characteristic pattern is indicative of the presence of anti-Tr antibodies. The Delta/Notch-like epidermal growth factor-related receptor (DNER) was identified as the target antigen of anti-Tr.,Anti-delta/notch-like epidermal growth factor-related receptor antibody|PCA-Tr,,ORPHA:623626,
HP:5000035,Anti-TRIM46 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against the axon initial segment protein tripartite motif 46 (TRIM46).,,,,
HP:5000036,Anti-TRIM9/TRIM67 antibody,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against TRIM9/TRIM67.,,,,
HP:5000037,Anti-Yo antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against Yo.,Anti-Purkinje cell cytoplasmic antibody 1,,ORPHA:623626,
HP:5000038,Anti-titin antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against titin.,,,ORPHA:589|ORPHA:536,NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK
